model,pozitsiya,narx,yil,km,yonilgi,kraska,rang,hudud,posted_date
#Gentra ,1,"10,700$",2022,32.000,Benzin gaz ,,Oq,Namangan,2025-03
#Cobalt ,4,"12,500$",2025,0,Benzin  ,,Oq,,2025-03
#Cobalt ,Avtomat,"11,500$",2022,50.000,Benzin + Gaz ,,Oq,Toshkent,2025-03
#Gentra ,3,"10,500$",2017,51.500,Benzin ,,Oq,,2025-03
#Spark ,4,"6,900$",2017,191.600,Benzin ,,Choco,,2025-03
#Malibu 1,3,"13,000$",2012,81.000,Benzin + Gaz 4 pok ,,Choco,,2025-03
#Cobalt ,4,"11,500$",2023,50.000,Benzin + Metan ,,Oq,,2025-03
#Cobalt ,Avtomat,"11,400$",2024,20.600,Benzin ,,Gk2,,2025-03
#Gentra ,Mexanika,"10,500$",2022,35.000,Benzin + Metan 4 pok ,,Gk2,Buxoro,2025-03
#Spark ,3,"5,200$",2013,355.000,Benzin + Gaz ,40%,Stalnoy,,2025-03
#Gentra ,1,"9,600$",2015,35.000,Benzin ,,Oq,,2025-03
#Damas ,2,"7,300$",2024,200,Benzin ,,Oq,,2025-03
#Gentra ,3,"11,900$",2021,54.000,Benzin ,,Oq,Toshkent,2025-03
#Gentra ,3,"12,300$",2021,70.000,Benzin ,,Qora,Toshkent,2025-03
#Nexia 3,2,"7,800$",2018,127.000,Benzin + Gaz ,,Oq,Namangan,2025-03
#Mercedes benz 210,Avant-garde,"7,500$",1998,"290,000",Benzin  ,,Tyomniy,,2025-03
#Gentra ,2,"10,650$",2022,55.000,Benzin + Gaz ,,Rasmda,,2025-03
#Hyundai Creta,2x2,"15,500$",2020,95.000,Benzin ,,Qora,,2025-03
#Gentra ,2,"12,000$",2022,55.173,Benzin + Propan ,,Qora,,2025-03
#Gentra ,3,"15,800$",2022,2.500,Benzin ,,Oq,Navoiy,2025-03
#Gentra ,3,"10,600$",2020,77.000,Benzin  ,,Mokriy,Toshkent,2025-03
#Nexia 2,3,"6,000$",2015,166.000,Benzin Metan  ,,Rasmda,,2025-03
#Nexia 2 ,4,"4,900$",2010,242.000,Benzin metan ,,Metalicca,,2025-03
#Gentra ,3,"12,800$",2022,95.000,Benzin ,,Qora,,2025-03
#Cobalt ,4,"12,700$",2025,0,Benzin  ,,Qora,,2025-03
#Nexia 3,4,"10,000$",2022,61.000,Benzin metan ,,Oq,,2025-03
#Cobalt ,2,"10,500$",2018,84.000,Benzin  ,,Oq,,2025-03
#Damas ,2,"5,100$",2018,169.000,Benzin Gaz ,,Oq,,2025-03
#Gentra ,2,"13,000$",2022,16.000,Benzin  ,,Qora,,2025-03
#Gentra,3,"14,000$",2023,29.000,Benzin ,,Darkmoon,Andijon ,2025-03
#Spark,4,"8,500$",2020,82.000,Benzin ,,Oq,,2025-03
#Cobalt ,4,"12,600$",2024,2.700,Benzin Propan 4 pok  ,,Oq,,2025-03
#Damas ,2,"6,500$",2023,"40,300",Benzin  ,,Oq,Toshkent,2025-03
#Equinox,Full,"22,600$",2022,77.000,Benzin + Propan ,,Qora,,2025-03
#Cobalt ,2,"9,700$",2020,23.762,Benzin ,,Oq,,2025-03
#Nexia 2,Luxe,"8,500$",2015,60.000,Benzin Gaz  ,,Oq,Farg'ona Qo'qon ,2025-03
#Cobalt ,LTZ,"12,700$",2025,58,Benzin  ,,Stalnoy,,2025-03
#Matiz,2,"3,600$",2009,250.000,Benzin ,,Oq,,2025-03
#Cobalt ,4,"11,000$",2023,90.243,Benzin metan ,,Oq,Farg'ona,2025-03
#Nexia 3,4,"9,800$",2022,84.000,Benzin  ,,Oq,,2025-03
#Damas ,2,"8,500$",2024,14.800,Benzin Gaz ,,Oq,Farg'ona Margilon,2025-03
#Damas,2,"6,100$",2020,60.000,Benzin ,,Malochniy,Toshkent viloyati ,2025-03
#Gentra ,3,"11,700$",2021,42.000,Benzin ,,Oq,Toshkent,2025-03
#Spark,Luxe,"5,000$",2011,320.000,Benzin Metan  ,,Oq,,2025-03
#Monza,"1,3","15,750$",2023,47.420,Benzin  ,,Qora,Farg'ona Qo'qon ,2025-03
#Tracker 2,LTZ,"15,500$",2023,70.000,Benzin + Metan ,,Qora,,2025-03
#Cobalt ,2,"10,200$",2021,81.000,Benzin + Gaz ,,Oq,,2025-03
#Cobalt ,Midnight,"12,550$",2025,135,Benzin ,,Oq,,2025-03
#Cobalt ,4,"6,450$",2012,231.700,Benzin + Metan Gaz ,,Oq,Toshkent,2025-03
#Cobalt,4,"10,700$",2022,60.000,Benzin metan ,,Mokriy,Toshkent,2025-03
#Tracker 2,Pirimer,"16,700$",2024,4.780,Benzin ,,Qora,,2025-03
#Spark ,4,"7,900$",2018,87.300,Benzin ,,Delfin,Toshkent,2025-03
#Gentra ,3,"11,000$",2019,112.300,Benzin + Gaz 4 pok ,,Qora,Andijon,2025-03
#Cobalt ,3,"8,300$",2014,129.000,Benzin ,,Oq,,2025-03
#Spark ,2,"5,800$",2018,159.700,Benzin ,,Oq,Toshkent ,2025-03
#Spark ,2,"6,900$",2019,109.000,Benzin + Metan ,,Oq,Farg'ona,2025-03
#Cobalt ,4,"11,150$",2022,12.800,Benzin ,,Oq,,2025-03
#Cobalt Midnight,4,"12,800$",2025,600,Benzin ,,Oq,,2025-03
#Gentra ,1,"8,500$",2016,221.000,Benzin + Gaz 4 pok ,98%,Mokriy,,2025-03
#Cobalt ,4,"11,200$",2023,57.500,Benzin ,,Darkroon,,2025-03
#Nexia 2,2,"5,800$",2015,72.000,Benzin + Metan ,,Delfin,Farg'ona Qo'qon,2025-03
#Cobalt ,Avtomat,"11,500$",2023,14.200,Benzin ,,Darkmoon,,2025-03
#Cobalt ,4,"9,950$",2020,94.673,Benzin + Metan Gaz ,,Oq,Toshkent,2025-03
#Damas,Full,"7,300$",2024,0,Benzin ,,Oq,,2025-03
#Matiz,Best,"3,700$",2013,192.000,Benzin ,,Oq,,2025-03
#Captiva 3 ,4,"13,300$",2015,86.500,Benzin  ,,Choco,,2025-03
#Nexia 2,4,"5,300$",2014,189.000,Benzin metan ,30%,Oq,,2025-03
#Cobalt ,4,"10,000$",2020,71.000,Benzin ,,Temnokorechneviy,,2025-03
#Nexia 3,2,"8,200$",2018,33.000,Benzin ,,Oq,,2025-03
#Tracker 2,LTZ,"16,500$",2023,0,Benzin ,,Qora,,2025-03
#Jetaur x70,Full,,2023,33.000,Benzin  ,,Qora,Toshkent,2025-03
#Spark,4,"9,000$",2020,8.300,Benzin ,,Oq,,2025-03
#Onix,3,"12,000$",2023,13.600,Benzin ,,Oq,,2025-03
#Cobalt ,2,"8,600$",2015,119.500,Benzin Propan  ,,Oq,,2025-03
#Tracker 2,Premier,"16,800$",2023,34.000,Benzin Propan  ,,Qora,,2025-03
#Nexia 2,"1,5","5,000$",2015,76.000,Benzin + Metan  ,30%,Molochniy,,2025-03
#Gentra ,2,"13,400$",2023,9.417,Benzin ,,Oq,,2025-03
#Cobalt ,Avtomat,"10,900$",2021,74.000,Benzin + Propan 90L 4 pok ,,Oq,Andijon,2025-03
#Nexia 2,Sons,"3,700$",2009,512.000,Benzin + Metan ,,Oq,,2025-03
#Gentra ,3,"11,000$",2018,79.000,Benzin + Gaz 4 pok ,,Oq,Toshkent,2025-03
#Nexia 3,4,"8,200$",2018,175.000,Benzin + Gaz 4 pok ,,Mokriy,,2025-03
#Cobalt ,4,"12,550$",2025,,Benzin ,,Oq,Toshkent,2025-03
#Gentra ,"3,","14,100$",2023,0,Benzin ,,Rasmda,,2025-03
#Gentra ,1,"9,300$",2019,238.635,Benzin + Gaz ,,Oq,,2025-03
#Matiz,Best,"4,000$",2012,283.000,Benzin + Gaz ,,Stalnoy,,2025-03
#Cobalt ,4,"10,000$",2020,82.500,Benzin ,,Oq,,2025-03
#Cobalt ,4,"9,300$",2018,169.000,Benzin + Gaz ,,Oq,,2025-03
#Nexia 2,2,"7,200$",2015,139.000,Benzin ,,Oq,,2025-03
#Gentra ,Full,"12,500$",2021,88.600,Benzin + Metan ,,Choco,,2025-03
#Cobalt ,4,"11,300$",2024,12.300,Benzin ,,Oq,,2025-03
#Cobalt ,2,"10,300$",2020,124.000,Benzin + Metan 4 pok ,,Oq,,2025-03
#Gentra ,Evro,"9,200$",2015,120.000,Benzin + Gaz 4 pok ,,Oq,,2025-03
#Cobalt ,3,"8,000$",2013,235.000,Benzin + Metan Gaz ,,Oq,,2025-03
#Spark,2,"5,400$",2012,236.000,Benzin + Metan Gaz ,,Rasmda,,2025-03
#Nexia 3,4,"9,700$",2021,110.000,Benzin + Propan ,,Oq,,2025-03
#Cobalt ,4,"11,000$",2023,17.500,Benzin ,,Zeus,,2025-03
#Tracker 2,LS,"16,700$",2024,1.450,Benzin ,,Qora,Qashqadaryo,2025-03
#Lacetti,1,"7,000$",2013,147.000,Benzin + Gaz ,,Oq,Toshkent,2025-03
#Cobalt ,Full,"10,300$",2022,108.000,Benzin + Metan 4 pok ,,Oq,,2025-03
#Gentra ,3,"14,500$",2023,22.500,Benzin ,,Oq,Toshkent,2025-03
#Nexia 3,Avtomat,"9,100$",2020,100.000,Benzin + Propan ,,Oq,,2025-03
#Spark ,2,"6,600$",2016,114.000,Benzin ,,Mokriy,,2025-03
#Nexia 3,2,"8,500$",2017,87.000,Benzin ,,Oq,,2025-03
#Cobalt ,4,"12,300$",2024,57,Benzin ,,Oq,,2025-03
#Nexia 3,3,"8,500$",2017,152.000,Benzin + Metan 4 pok ,,Rasmda,,2025-03
#Cobalt ,GX-STAYL,"12,450$",2025,300,Benzin ,,Oq,,2025-03
#Nexia 2,1,"4,800$",2012,285.000,Benzin + Metan ,,Oq,,2025-03
#Gentra ,3,"13,500$",2023,16.000,Benzin Propan ,,Darkmoon,Toshkent,2025-03
#Nexia 3,Avtomat,"10,700$",2023,56.000,Benzin ,,Oq,Andijon ,2025-03
#Nexia 3,4,"8,300$",2018,126.000,Benzin ,,Mokriy,,2025-03
#Gentra ,1,"11,200$",2022,"33,000",Benzin gaz ,,Oq,,2025-03
#Cobalt ,2,"7,400$",2014,"340,000",Benzin Metan  ,,Oq,,2025-03
#Damas,2,"6,800$",2022,"70,000",Benzin Gaz  ,,Oq,,2025-03
#Nexia 3 ,2,"9,500$",2020,48.595,Benzin  ,,Oq,,2025-03
#Nexia 2,Luxe,"7,000$",2015,"44,000",Benzin  ,,Oq,,2025-03
#Lacetti,Avtomat,"12,300$",2021,56.000,Benzin  ,,Oq,,2025-03
#Cobalt,4,"12,650$",2025,21,Benzin  ,,Oq,,2025-03
#Gentra,2,"10,900$",2022,19.400,Benzin metan 4 pok  ,,Mokriy,Qashqadaryo,2025-03
#Gentra ,3,"14,500$",2023,"17,400",Benzin Propan  ,,Dark,Toshkent,2025-03
#Cobalt,Avtomat,"12,300$",2022,"46,500",Benzin  ,,Oq,Toshkent viloyat,2025-03
#Cobalt ,4,"12,400$",2025,28,Benzin ,,Oq,,2025-03
#Nexia 2,1.6,"5,500$",2014,245.000,Benzin metan ,,Oq,,2025-03
#Nexia 3,Avtomat,"8,500$",2018,"186,000",Benzin  ,,Oq,Farg'ona Qo'qon,2025-03
#Equinox,Full,"22,600$",2022,77.000,Benzin + Propan ,,Qora,,2025-03
#Gentra,lyuk,"13,000$",2023,"20,000",Benzin ,,Kinda,,2025-03
#Damas,2,"5,500$",2020,43.000,Benzin Gaz  ,,Oq,,2025-03
#Gentra ,3,"9,000$",2018,226.000,Benzin + Gaz ,,Oq,,2025-03
#Matiz,Prastoy,"1,800$",2007,447.000,Benzin + Metan Gaz ,,Rasmda,,2025-03
#Cobalt ,2,"10,500$",2021,118.800,Benzin + Metan ,,Oq,,2025-03
#Tracker 2,Premier,"16,700$",2023,12.000,Benzin ,,Qora,,2025-03
#Kia Forte,Full,"8,200$",2008,148.000,Benzin ,,Kulrang,,2025-03
#Gentra ,Elegant,"14,200$",2023,40.092,Benzin ,,Mokriy,Sirdaryo,2025-03
#Nexia 3,4,"8,100$",2017,197.000,Benzin + Metan 4 pok ,,Oq,,2025-03
#Cobalt ,Avtomat,"10,000$",2019,152.000,Benzin + Metan 4 pok ,,Oq,Farg'ona,2025-03
#Monza,1.5,"15,700$",2023,30.900,Benzin ,,Qora,,2025-03
#Gentra ,3,"8,500$",2015,114.000,Benzin Gaz ,,Oq,Andijon,2025-03
#Cobalt ,4,"11,200$",2022,44.500,Benzin ,,Mokriy,,2025-03
#Cobalt ,2,"7,900$",2018,148.000,Benzin + Propan ,,Oq,,2025-03
#Spark ,2,"6,900$",2019,106.000,Benzin ,,Oq,,2025-03
#Cobalt ,4,"10,700$",2021,34.000,Benzin ,,Oq,,2025-03
#Damas ,Van,"5,100$",2019,289.000,Benzin + Gaz ,,Oq,,2025-03
#Spark ,2,"5,200$",2012,153.000,Benzin ,,Marokanskiy,,2025-03
#Cobalt ,4,"12,450$",2025,,Benzin ,,Oq,Qashqadaryo,2025-03
#Nexia 3,2,"8,500$",2020,92.000,Benzin + Gaz 4 pok ,,Mokriy,,2025-03
#Hyundai Sonata 3+,3,"20,000$",2022,89.000,Benzin Propan  ,,Oq,,2025-03
#Cobalt ,4,"9,350$",2020,116.000,Benzin + Metan Gaz ,,Oq,,2025-03
#Gentra,Euro,"12,500$",2023,24.000,Benzin Metan 4 pok  ,,Oq,Namangan ,2025-03
#Cobalt,4,"11,600$",2023,35.000,Benzin Gaz pok. ,,Oq,Namangan,2025-03
#Nexia 2,1.6,"5,200$",2014,348.000,Benzin  ,,Seriy,,2025-03
#Spark ,4,"8,500$",2020,82.000,Benzin  ,,Oq,,2025-03
#Spark,4,"8,000$",2019,152.000,Benzin propan ,,Oq,,2025-03
#Cobalt,2,"9,900$",2018,65.000,Benzin  ,,Oq,,2025-03
#Gentra ,3,"11,000$",2021,94.000,Benzin Gaz ,,Oq,Toshkent,2025-03
#Nexia 3,Avtomat,"10,000$",2020,84.030,Benzin propan ,,Oq,,2025-03
#Nexia 2,4,"4,500$",2015,205.000,Benzin metan  ,,Tyomniy,,2025-03
#Matiz ,Best,"3,400$",2008,298.000,Benzin metan ,15%,Bardoviy,Andijon,2025-03
#Nexia 2,1.6,"4,500$",2009,436.000,Benzin  ,30%,Qora,,2025-03
#Gentra ,3,"13,500$",2023,16.000,Benzin Propan ,,Darkmoon,Toshkent,2025-03
#Tracker ,Premier,"16,200$",2023,56.500,Benzin propan  ,,Qora,,2025-03
#Nexia 3,2,"8,000$",2018,115.000,Benzin Metan Gaz  ,,Oq,,2025-03
#Captiva,4,"18,500$",2018,60.000,Benzin ,,Qora,,2025-03
#Epica,Avtomat,"8,300$",2011,239.000,Benzin Metan Gaz 4 pok  ,,Rasmda,,2025-03
#Spark,4,"8,800$",2019,55.000,Benzin Metan 4 pok  ,,Oq,,2025-03
#Cobalt,Avtomat,"10,800$",2021,72.000,Benzin Metan Gaz 4 pok  ,,Mokriy,,2025-03
#Gentra,3,"11,300$",2019,103.000,Benzin Gaz  ,,Oq,,2025-03
#Spark,3,"8,100$",2022,62.000,Benzin ,,Pepl,Toshkent ,2025-03
#Gentra,Euro,"9,800$",2015,213.000,Benzin Gaz  ,,Mokriy,,2025-03
#Nexia 1,Sons,"5,500$",2004,274.000,Benzin Gaz  ,,Oq,Namangan ,2025-03
#Spark,4,"5,600$",2011,168.000,Benzin ,,Oq,,2025-03
#Matiz Best,3,"2,000$",2009,430.000,Benzin + Gaz ,,Malochniy,,2025-03
#Cobalt,4,"12,800$",2025,0,Benzin ,,Qora,,2025-03
#Nexia 3,3,"7,750$",2016,216.000,Benzin Metan 4 pok  ,,Oq,Andijon ,2025-03
#Tracker 2,LS,"14,800$",2023,8.000,Benzin ,,Qora,,2025-03
#Cobalt ,Euro,"12,700$",2025,0,Benzin  ,,Oq,,2025-03
#Nexia 3,3,"9,500$",2019,53.500,Benzin  ,,Oq,,2025-03
#Malibu 2,LT,"17,350$",2017,131.000,Benzin  ,,Qora,,2025-03
#Captiva ,1/4,"9,700$",2009,135.000,Benzin Gaz ,,Oq,Jizzax,2025-03
#Cobalt,Avtomat,"10,500$",2022,133.000,Benzin Gaz  ,,Oq,,2025-03
#Gentra,1,"8,800$",2019,190.000,Benzin Metan  ,,Oq,,2025-03
#Cadilac Optiq AWD LONG RANGE,Full,"41,000$",2024,0,Electro ,,Oq,,2025-03
#Gentra,3,"14,500$",2023,29.000,Benzin ,,Darkmoon,Andijon ,2025-03
#Spark,2,"6,300$",2017,245.000,Benzin Gaz  ,,Oq,,2025-03
#Nexia 3,2,"7,200$",2019,137.000,Benzin Gaz 3 pok  ,,Oq,Sirdayo ,2025-03
#Cobalt ,4,"11,000$",2021,40.700,Benzin ,,Oq,,2025-03
#Cobalt ,1,"6,900$",2015,210.000,Benzin ,,Qora,,2025-03
#Nexia 3,2,"9,200$",2021,31.500,Benzin ,,Oq,,2025-03
#Cobalt ,Avtomat,"10,100$",2022,49.000,Benzin Propan Gaz  ,,Mokriy,,2025-03
#Nexia ,2,"5,550$",2014,140.000,Benzin Metan Gaz 4 pok  ,,Oq,,2025-03
#Nexia 3,2,"7,800$",2019,107.000,Benzin Gaz 4 pok  ,,Qora,Toshkent viloyati ,2025-03
#Gentra,3,"15,000$",2023,9.000,Benzin Propan 4 pok  ,,Qora,Namangan ,2025-03
#Nexia 3,Avtomat,"9,900$",2022,47.000,Benzin Metan 3 pok  ,,Oq,,2025-03
#Cobalt ,4,"12,000$",2024,18.000,Benzin Metan 4 pok  ,,Oq,Toshkent ,2025-03
#Nexia 3,4,"8,700$",2018,205.000,Benzin Metan 3 pok  ,,Oq,Toshkent ,2025-03
#Cobalt ,4,"11,200$",2022,44.000,Benzin ,,Mokriy,Toshkent,2025-03
#Nexia 3,2,"8,600$",2019,142.000,Benzin ,,Choco,,2025-03
#Kia Seltos,Full,"28,200$",2024,22.000,Benzin + Gaz ,,Qora,,2025-03
#Lada Vesta Cross,Avtomat,"13,000$",2020,26.637,Benzin ,,Qora,,2025-03
#Spark ,2,"7,500$",2019,100.000,Benzin ,,Oq,,2025-03
#Gentra ,3,"13,000$",2021,51.900,Benzin + Metan ,,Oq,,2025-03
#Cobalt ,3,"10,500$",2020,105.000,Benzin + Gaz ,,Oq,,2025-03
#Gentra ,Mexanika,"10,800$",2019,30.000,Benzin ,,Oq,Farg'ona Qo'qon,2025-03
#Nexia 2,4,"6,600$",2015,97.000,Benzin + Metan 4 pok ,,Rasmda,,2025-03
#Kia Sportage,2,"30,000$",2024,11.200,Benzin ,,Qora,,2025-03
#Gentra ,1,"9,900$",2020,47.500,Benzin ,,Oq,,2025-03
#Cobalt ,Avtomat,"10,600$",2023,26.000,Benzin  ,,Rasmda,,2025-03
#Gentra ,Avtomat,"10,400$",2019,130.000,Benzin + Gaz ,,Oq,,2025-03
#Onix,7,,2024,34.000,Benzin  ,,Qora,Toshkent,2025-03
#Gentra ,2,"11,400$",2022,60.000,Benzin + Propan ,,Oq,,2025-03
#Malibu 1,Avtomat,"9,250$",2012,370.000,Benzin + Metan 4 pok ,,Rasmda,,2025-03
#Nexia 3,4,"9,800$",2020,29.000,Benzin ,,Oq,,2025-03
#Nexia 3,4,"10,900$",2022,53.000,Benzin + Metan 4 pok ,,Oq,Farg'ona,2025-03
#Nexia 2,Sons,"5,000$",2010,370.000,Benzin + Metan Gaz ,,Oq,,2025-03
#Damas ,D2,,2024,1.767,Benzin ,,Smoke,Surxondaryo,2025-03
#Damas ,2,"6,800$",2022,47.800,Benzin Propan  ,,Oq,,2025-03
#Lacetti,1.8L,"7,200$",2010,245.000,Benzin Metan  ,,Oq,Toshkent viloyati ,2025-03
#Jetour Dashing,1.6L,,2024,15.000,Benzin Propan  ,,Qora,Samarqand ,2025-03
#Hyundai Santa fe ,2.5,"33,500$",2021,39.000,Benzin ,,Jigarrang,Toshkent,2025-03
#Cobalt,4,"10,700$",2022,60.000,Benzin metan ,,Mokriy,Toshkent,2025-03
#Gentra ,1,"9,850$",2015,120.000,Benzin gaz 4 pok ,,Oq,,2025-03
#Gentra Srochno,3,"13,800$",2023,25.900,Benzin + Propan ,,Kinda,Farg'ona,2025-03
#Gentra ,Mexanika,"10,750$",2023,85.000,Benzin metan 4 pok ,,Oq,Sirdaryo,2025-03
#Nexia 2 Deawoo,1,"5,300$",2014,170.000,Benzin gaz ,,Mokriy,,2025-03
#Cobalt ,4,"11,200$",2022,67.000,Benzin propan 4 pok ,,Oq,,2025-03
#Matiz ,MX,"5,800$",2018,44.000,Benzin Propan ,,Oq,,2025-03
#Matiz Deawoo,2,"3,700$",2016,101.000,Benzin  ,,Bardoviy,,2025-03
#Cobalt ,4,"12,000$",2024,18.000,Benzin metan 4 pok ,,Oq,Toshkent,2025-03
#Gentra ,1,"9,500$",2018,51.000,Benzin ,,Oq,,2025-03
#Onix,1,,2023,9.000,Benzin  ,,Qora,Qashqadaryo,2025-03
#Cobalt ,4,"9,200$",2018,125.000,Benzin ,,Mokriy,,2025-03
#Malibu 1,3,"12,800$",2012,80.000,Benzin + Gaz 4 pok ,,Choco,,2025-03
#Cobalt ,4,"11,600$",2024,8.500,Benzin ,,Oq,,2025-03
#Tracker 2,LTZ,"14,600$",2022,39.000,Benzin + Propan Gaz ,,Oq,,2025-03
#Spark ,4,"7,600$",2020,56.000,Benzin  ,,Oq,,2025-03
#Matiz Best,3,"3,300$",2010,264.000,Benzin + Gaz ,,Seriy,,2025-03
#Damas ,1,"2,000$",1995,480.000,Benzin + Gaz  ,,Malochniy,,2025-03
#Spark ,3,"5,900$",2015,250.000,Benzin + Metan Gaz ,,Oq,,2025-03
#Nexia 3,4,"9,900$",2022,61.000,Benzin + Propan ,,Oq,,2025-03
#Gentra ,2,"8,400$",2018,160.000,Benzin  ,,Oq,,2025-03
#Lacetti ,Mexanika,"4,600$",2009,487.112,Benzin  ,40%,Oq,,2025-03
#Nexia 3,4,"9,200$",2020,30.000,Benzin ,,Oq,Toshkent,2025-03
#Nexia 2,1,"4,800$",2012,285.000,Benzin + Metan ,,Oq,,2025-03
#Matiz,2,"3,100$",2011,288.000,Benzin + Gaz ,,Kulrang,,2025-03
#Spark ,2,"7,900$",2020,83.800,Benzin + Propan ,,Mokriy,,2025-03
#Nexia 3,Avtomat,"10,500$",2021,35.000,Benzin + Gaz ,,Oq,,2025-03
#Tracker 1,Avtomat,"12,500$",2020,72.500,Benzin ,,Qora,,2025-03
#Cobalt ,4,"10,700$",2021,34.000,Benzin ,,Oq,,2025-03
#Tracker 2,3,"16,500$",2023,29.500,Benzin ,,Qora,,2025-03
#Gentra ,1,"9,900$",2018,143.039,Benzin Gaz zavodkskoy ,,Oq,,2025-03
#Malibu 1,1,"11,000$",2013,177.958,Benzin + Gaz ,,Rasmda,,2025-03
#Nexia 3,Mexanika,"8,200$",2018,72.000,Benzin Gaz  ,,Oq,,2025-03
#Gentra,3,"11,990$",2021,68.000,Benzin Metan 4 pok  ,,Qora,Farg'ona ,2025-03
#Gentra ,1,"9,600$",2015,97.000,Benzin Gaz  ,,Mokriy,Qashqadaryo,2025-03
#Gentra,1,"9,000$",2016,53.500,Benzin ,,Gan,Toshkent ,2025-03
#Gentra,3,"10,700$",2019,59.000,Benzin ,,Oq,,2025-03
#Kia Sanet,2,"17,500$",2024,3.600,Benzin  ,,Oq,,2025-03
#Cobalt ,1,"7,500$",2018,225.000,Benzin  ,,Oq,,2025-03
#Damas ,2,"5,500$",2020,68.000,Benzin  ,,Oq,Toshkent,2025-03
#Tracker ,1,"14,600$",2023,23.000,Benzin propan ,,Qora,Farg'ona,2025-03
#Gentra ,Avtomat,"10,000$",2018,270.000,Benzin gaz 4 pok ,,Mokriy,,2025-03
#Spark ,3,"7,200$",2016,125.000,Benzin  ,,Oq,Toshkent,2025-03
#Tracker ,Turbo,"18,000$",2023,25.000,Benzin ,,Qora,,2025-03
#Gentra ,3,"14,200$",2023,16.000,Benzin Propan ,,Darkmoon,Toshkent,2025-03
#Spark ,4,"9,000$",2020,82.000,Benzin  ,,Oq,,2025-03
#BYD Song L,4,"34,500$",2024,0,Electro ,,Nardagre,,2025-03
#Monza,1.5,"15,200$",2023,"21,500",Benzin  ,,Oq,Toshkent,2025-03
#Nexia 2,4,"7,000$",2015,25.000,Benzin  ,,Oq,,2025-03
#Cobalt ,1,"6,900$",2015,210.000,Benzin ,,Qora,,2025-03
#Cobalt ,4,"9,450$",2020,116.000,Benzin + Metan Gaz ,,Oq,,2025-03
#Spark ,4,"7,700$",2019,140.000,Benzin ,,Oq,Farg'ona Qo'qon,2025-03
#Cobalt ,4,"11,150$",2024,52.400,Benzin + Metan Gaz 4 pok ,,Oq,Toshkent,2025-03
#Mazda 3,Avtomat,"6,800$",2007,"300,000",Benzin ,,"Serebrestiy,",,2025-03
#Spark ,2,"6,500$",2015,165.000,Benzin ,,Oq,Toshkent,2025-03
#Cobalt ,Avtomat,"10,400$",2021,119.000,Benzin + Metan Gaz ,,Oq,,2025-03
#Hyundai Grayder full ,6,"6,500$",2002,,Benzin + Gaz ,90%,"Stalnoy,",,2025-03
#Spark ,Avtomat,"9,300$",2023,50.000,Benzin Propan ,,Qora,,2025-03
#Cobalt ,Avtomat,"10,700$",2022,75.456,Benzin ,,Oq,,2025-03
#Cobalt ,2,"6,300$",2012,253.000,Benzin + Gaz ,,Qizil,,2025-03
#Tracker 2,Premier,"19,200$",2024,5.350,Benzin ,,Oq,,2025-03
#Nexia 2,Super,"5,300$",2015,445.000,Benzin Gaz ,,Mokiry,,2025-03
#Nexia 3,Avtomat,"8,200$",2017,113.400,Benzin ,,Oq,Toshkent,2025-03
#Kia Sportage 3,Full,"18,000$",2016,93.000,Benzin Propan ,,Oq,Qashqadaryo,2025-03
#Cobalt ,4,"13,500$",2024,21.000,Benzin + Propan ,,Oq,Farg'ona,2025-03
#Onix,2,"11,500$",2023,12.000,Benzin ,,Oq,,2025-03
